Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
1,XGBoost,100,0.5702971276029183,119.01146850585937,155.34152926717945,0.6063488973481366,0.6063488973481366,108.00234985351562,428.5416259765625,0.6085986627760643,10.749711635695961,-44.99525756835938,0.95,0.1935474,59.505734252929685,1.754516727166471,80.0,"{'Annual kilometers': 211.64091, 'Age': 124.87079, 'Business Use': 79.27348, 'State': 25.05701, 'Sum Insured Amount': 18.078108}"
2,XGBoost,1000,0.9530348321993037,51.8801203918457,80.32293094803238,0.9532412353962749,0.9532412353962749,30.069427490234375,358.4671630859375,0.18156662230816456,5.059631791163978,-5.324879913330078,1.0,0.34065273,25.94006019592285,2.1396935797800145,100.0,"{'Annual kilometers': 191.20404, 'Age': 162.27008, 'Business Use': 111.468544, 'State': 86.7133, 'Gender': 12.691075}"
3,XGBoost,2000,0.9762792758176038,39.31074562072754,63.26425609943726,0.9763293511915438,0.9763293511915438,22.645751953125,402.852294921875,0.11961261467950766,3.5062601956280623,-2.9067423248291018,1.0,0.36923304,19.65537281036377,1.8490488569075187,100.0,"{'Annual kilometers': 203.49286, 'Age': 168.99391, 'Business Use': 114.55535, 'State': 91.18914, 'Gender': 15.040924}"
4,XGBoost,5000,0.9635226310859737,44.08340493774414,67.48514506924717,0.9636371919399263,0.9636371919399263,27.883056640625,457.3389892578125,0.15664601521591945,4.4530141781288455,3.7819393005371094,1.0,0.3334947,22.04170246887207,1.9082420380244545,100.0,"{'Annual kilometers': 192.01404, 'Age': 162.43483, 'Business Use': 108.56566, 'State': 85.05319, 'Gender': 15.012252}"
5,XGBoost,100,0.8729523568655735,91.65990905761718,116.47219507559605,0.8779025001199959,0.8779025001199959,63.8958740234375,259.293701171875,0.33179457044258814,10.322444512340304,22.99046936035156,1.0,0.26122254,45.82995452880859,2.3337534186132953,80.0,"{'Annual kilometers': 143.70293, 'Age': 134.15115, 'Business Use': 76.40794, 'State': 39.29896, 'Sum Insured Amount': 23.893766}"
6,XGBoost,1000,0.9377021647932586,56.98527481079102,102.5807358138468,0.9385867087230212,0.9385867087230212,30.391998291015625,705.94873046875,0.18245049770882538,4.927762922924238,-12.223315887451172,0.995,0.34957567,28.49263740539551,2.0807248651091195,100.0,"{'Annual kilometers': 185.36723, 'Age': 162.43231, 'Business Use': 102.60209, 'State': 73.959305, 'Gender': 8.037682}"
7,XGBoost,2000,0.9738657111209152,36.42561195373535,60.67513068743931,0.9739421553544011,0.9739421553544011,18.628509521484375,350.855224609375,0.12054391929016245,3.613501490264888,3.281540298461914,1.0,0.36780235,18.212805976867674,1.9887117992897088,100.0,"{'Annual kilometers': 197.82378, 'Age': 173.45348, 'Business Use': 110.25672, 'State': 81.55036, 'Gender': 15.244279}"
8,XGBoost,5000,0.9672574351568137,42.49815103149414,63.41816931925815,0.9673600617225733,0.9673600617225733,26.689895629882812,369.71875,0.1505983167559807,4.199577398503839,3.550481475830078,1.0,0.33298308,21.24907551574707,2.0219607436888993,100.0,"{'Annual kilometers': 191.04059, 'Age': 169.35075, 'Business Use': 113.09772, 'State': 86.480194, 'Gender': 15.689044}"
9,XGBoost,100,0.8627493076814681,97.85186004638672,122.32600174888465,0.8874308228173058,0.8874308228173058,76.66363525390625,316.432373046875,0.3702582868411788,10.60459034870279,51.873722839355466,1.0,0.29906362,48.92593002319336,1.9844112197326373,80.0,"{'Annual kilometers': 215.31204, 'Age': 192.16988, 'Business Use': 85.88657, 'State': 49.705143, 'Year': 13.871015}"
10,XGBoost,1000,0.9308148740317875,57.01662750244141,92.36506209009289,0.9309987226667814,0.9309987226667814,33.51123046875,533.37646484375,0.21326494201517895,5.153821590929077,4.761365966796875,1.0,0.3100032,28.508313751220705,1.9588881070284265,100.0,"{'Annual kilometers': 184.69302, 'Age': 178.32436, 'Business Use': 111.122765, 'State': 86.372604, 'Gender': 14.342398}"
