Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
1,XGBoost,100,0.8146605490242109,879.103235572815,1956.3062584404083,0.8357705289676066,0.8357705289676066,79.11794296264648,6926.1001953125,0.27275312584381894,45.37309083748092,-660.2323781204223,0.95,1.5771163,439.5516177864075,1.9383565101710187,80.0,"{'Company Size': 2002.7383, 'Industry Risk': 111.11942, 'Security Score': 27.792957, 'Previous Cyber Incidents': 20.457848, 'Business Interruption Cost': 19.42486}"
2,XGBoost,1000,0.8208561371161003,384.7673345143557,1257.451658093098,0.8209769147190943,0.8209769147190943,44.80829223632812,11777.93921875,0.19882552864165834,73.75065781947018,32.65002616298199,0.995,1.9952077,192.38366725717785,2.4041742573366593,100.0,"{'Company Size': 1948.2158, 'Business Interruption Cost': 139.32474, 'Data Sensitivity': 96.37129, 'Industry Risk': 84.99606, 'Security Score': 62.22247}"
3,XGBoost,2000,0.9077558431963408,358.9069142299414,957.6132805606763,0.9082052014057129,0.9082052014057129,49.277881164550784,10268.116914062499,0.1683581782607346,75.60744034450101,-66.83701841361523,0.9975,1.8627485,179.4534571149707,1.950870937749007,100.0,"{'Company Size': 1904.7968, 'Business Interruption Cost': 157.46431, 'Data Sensitivity': 139.05154, 'Security Score': 61.625656, 'Industry Risk': 17.015867}"
4,XGBoost,5000,0.8962289173867589,313.1247252763486,918.7730544357685,0.8962551442892472,0.8962551442892472,45.31506103515625,9278.656484375,0.17159709322373123,80.61250769170603,-14.606413017351633,0.994,2.1213396,156.5623626381743,2.0528163577188967,80.0,"{'Company Size': 1881.71, 'Business Interruption Cost': 153.49811, 'Data Sensitivity': 143.68002, 'Security Score': 58.73498, 'Types of Data Stored': 17.573069}"
5,XGBoost,100,0.8854701892042516,571.4775908925533,1062.010072089728,0.88837817297052,0.88837817297052,50.397573547363294,2993.914179687499,0.2358699451243681,62.119362495313766,-169.2253234479427,1.0,1.299403,285.73879544627664,1.9749289371908632,80.0,"{'Company Size': 1928.5359, 'Business Interruption Cost': 62.418022, 'Types of Data Stored': 46.4293, 'Data Sensitivity': 37.12098, 'Security Score': 29.767567}"
6,XGBoost,1000,0.8595713825724394,428.68471466812497,1238.2648173086995,0.8596740071191656,0.8596740071191656,49.57630615234376,10410.982109375,0.2010493664752779,73.8089790914969,-33.47428808855415,0.985,1.861413,214.34235733406248,2.1407388033392927,100.0,"{'Company Size': 2004.8191, 'Data Sensitivity': 125.218605, 'Business Interruption Cost': 124.84435, 'Security Score': 32.7176, 'Industry Risk': 28.364573}"
7,XGBoost,2000,0.8849367980148513,328.68244135027635,874.7785505023825,0.8850275066545343,0.8850275066545343,41.14522743225098,6235.8550781250015,0.18288396557688638,70.55922458575003,24.561462605564667,0.99,1.8480487,164.34122067513817,1.9701146598774217,80.0,"{'Company Size': 1947.5564, 'Data Sensitivity': 146.86815, 'Business Interruption Cost': 145.90887, 'Security Score': 53.980656, 'Previous Cyber Incidents': 26.240568}"
8,XGBoost,5000,0.9152921661560377,314.86434442201045,848.6868892314751,0.9153022674896683,0.9153022674896683,41.570470504760735,7250.921093749999,0.16467807523706046,74.17989179997062,9.267766062618204,0.996,1.9434056,157.43217221100522,1.9922298122792022,100.0,"{'Company Size': 1901.4813, 'Business Interruption Cost': 164.33818, 'Data Sensitivity': 146.53697, 'Security Score': 74.83927, 'Industry Risk': 18.16051}"
9,XGBoost,100,0.9861576432674776,77.41017269325258,140.35669121900187,0.9865202763242088,0.9865202763242088,24.448489837646484,371.02776000976564,0.11333413568420382,110.79446052456416,22.71756599235534,1.0,2.4485548,38.70508634662629,1.7393585444021402,80.0,"{'Company Size': 2264.4995, 'Security Score': 157.37076, 'Previous Cyber Incidents': 148.57297, 'Industry Risk': 113.54844, 'Business Interruption Cost': 56.419598}"
10,XGBoost,1000,0.9124461006944652,258.92149315919875,768.8788171512982,0.912961963789012,0.912961963789012,46.5522533416748,7783.844960937498,0.1540805160506858,84.40138177927324,-59.018392908954596,0.995,1.9155558,129.46074657959937,1.8661983492263552,100.0,"{'Company Size': 1792.866, 'Business Interruption Cost': 152.79205, 'Data Sensitivity': 119.643654, 'Security Score': 65.18535, 'Industry Risk': 51.25922}"
11,XGBoost,2000,0.8642405506270373,364.48543282415864,1137.4027727470884,0.8644069862180995,0.8644069862180995,48.41119037628174,9566.51869140625,0.18278757922457986,80.96545851603285,39.82468506181242,0.9875,2.0319252,182.24271641207932,1.8349201504572972,80.0,"{'Company Size': 2045.734, 'Business Interruption Cost': 196.33559, 'Data Sensitivity': 101.202995, 'Security Score': 65.62243, 'Compliance Standard': 28.880291}"
12,XGBoost,5000,0.9083676388244235,311.91187741505144,889.4621238998417,0.9086721013774554,0.9086721013774554,44.0909139573574,14408.3038671875,0.16152890750488214,76.81184851445938,51.270784512782086,0.997,1.9501402,155.95593870752572,2.022476090506629,100.0,"{'Company Size': 1956.0511, 'Business Interruption Cost': 178.21584, 'Data Sensitivity': 144.68092, 'Security Score': 48.769325, 'Industry Risk': 22.943174}"
13,XGBoost,100,0.9560911902047361,301.3819603619576,489.5905136796394,0.9572036719452508,0.9572036719452508,115.1934521484375,1534.0311132812503,0.17516935622277718,88.36156458254067,-77.92980822420125,1.0,1.5822762,150.6909801809788,2.340107059169713,80.0,"{'Company Size': 1482.74, 'Industry Risk': 185.65463, 'Business Interruption Cost': 59.571125, 'Data Sensitivity': 32.613747, 'Geographic Location': 23.965096}"
14,XGBoost,1000,0.8311009524899089,464.62081744444373,1570.8219958557609,0.8322375078975309,0.8322375078975309,45.90375015258789,16491.426249999997,0.19461951673888545,71.13826963916813,-128.85719702084066,0.99,1.872608,232.31040872222187,2.10110228100907,80.0,"{'Company Size': 1979.2859, 'Business Interruption Cost': 182.77972, 'Data Sensitivity': 95.17403, 'Industry Risk': 41.390038, 'Geographic Location': 27.57808}"
15,XGBoost,2000,0.8624164615412402,403.819137225765,1128.4256060705125,0.8624982644895118,0.8624982644895118,47.30658073425293,7897.545351562501,0.19800173942095808,75.54561607908445,27.515295001274367,0.99,1.9550625,201.9095686128825,1.9417898809806895,80.0,"{'Company Size': 1958.5146, 'Business Interruption Cost': 212.12976, 'Data Sensitivity': 119.43899, 'Compliance Standard': 48.799828, 'Security Score': 47.026623}"
16,XGBoost,5000,0.8968133756345769,328.34951746805433,882.5932992817329,0.8973293789685666,0.8973293789685666,47.66136104583739,7457.60140625,0.18633085420923112,79.38550292576501,62.41301708440543,0.993,1.9606884,164.17475873402717,1.9541975306730366,100.0,"{'Company Size': 1848.6035, 'Business Interruption Cost': 158.66344, 'Data Sensitivity': 148.52998, 'Security Score': 54.9149, 'Industry Risk': 15.576167}"
17,XGBoost,100,0.9644863605425875,256.7738019884825,433.42713964806836,0.9722579866484907,0.9722579866484907,88.6277471923828,1293.283935546875,0.16420036303524038,76.190758277269,202.75634807026387,1.0,1.6457472,128.38690099424124,1.9155042565655471,80.0,"{'Company Size': 1693.5266, 'Previous Cyber Incidents': 65.56155, 'Business Interruption Cost': 29.94527, 'Industry Risk': 28.840412, 'Security Score': 7.1831408}"
18,XGBoost,1000,0.7800342710676226,547.256132334584,1673.7890316584853,0.7808382314592431,0.7808382314592431,50.3215364074707,15707.372968750002,0.24318439535530964,77.00452854129117,-101.19068434759978,0.985,1.8662677,273.628066167292,1.9769736923075356,80.0,"{'Company Size': 2137.8052, 'Business Interruption Cost': 231.99272, 'Data Sensitivity': 118.48522, 'Security Score': 60.84154, 'Compliance Standard': 49.47987}"
19,XGBoost,2000,0.9019115109386215,316.41477095575334,850.2602238707134,0.9019132199908748,0.9019132199908748,36.14459398269652,6942.849238281249,0.18049619481541807,73.51392496651803,-3.5491185892105093,0.9925,1.9704845,158.20738547787667,1.94338131909422,80.0,"{'Company Size': 1765.8575, 'Business Interruption Cost': 169.45815, 'Data Sensitivity': 118.72378, 'Security Score': 37.31053, 'Geographic Location': 25.702648}"
20,XGBoost,5000,0.9239088728639892,284.4967918400526,819.6024342380052,0.9240743339433981,0.9240743339433981,39.61705482482909,8712.67390625,0.14913100624603265,77.23247462833167,-38.21942575511456,0.994,2.0480382,142.2483959200263,1.967995844188492,100.0,"{'Company Size': 1856.0365, 'Business Interruption Cost': 143.69762, 'Data Sensitivity': 122.79647, 'Security Score': 62.41132, 'Industry Risk': 12.800573}"
