Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,8000,0.9047517278248435,352.67433349032467,934.3694261075063,0.9047787386049148,0.9047787386049148,43.33744407653807,10139.043359374999,0.17463212970080152,73.17901728199656,-15.734705889165994,0.9945,1.8649523,176.33716674516234,2.0523321169388233,100.0,"{'Company Size': 1953.246, 'Business Interruption Cost': 157.07867, 'Data Sensitivity': 143.06676, 'Security Score': 57.417614, 'Industry Risk': 11.296258}"
XGBoost,40000,0.9025311548881703,308.6418557607687,910.4854720428833,0.9025314827209371,0.9025314827209371,35.340223617553704,14616.5908203125,0.1631504244240711,70.57295163015799,-1.6698070483467593,0.9949,1.9623567,154.32092788038435,1.9515627193586547,100.0,"{'Company Size': 1880.9878, 'Business Interruption Cost': 165.2091, 'Data Sensitivity': 139.62195, 'Security Score': 49.98216, 'Industry Risk': 1.9219514}"
XGBoost,80000,0.9057823741235203,318.8783669278579,909.0517065752621,0.9057833213866892,0.9057833213866892,38.04522899627686,15377.800195312499,0.1637498784971589,74.82890780508265,2.8824237926852136,0.99535,1.9322386,159.43918346392894,1.9694483381687073,80.0,"{'Company Size': 1931.2742, 'Business Interruption Cost': 164.68338, 'Data Sensitivity': 148.80371, 'Security Score': 59.122707, 'Geographic Location': 4.059324}"
XGBoost,8000,0.9038921551034681,329.08668594569684,927.944232574163,0.9038935926075349,0.9038935926075349,43.291262664794914,13397.422968750001,0.16435071420377403,75.67576546561085,3.588781342778204,0.996,1.914526,164.54334297284842,1.9714125716003938,80.0,"{'Company Size': 2003.4117, 'Business Interruption Cost': 157.8924, 'Data Sensitivity': 156.42824, 'Security Score': 52.16375, 'Compliance Standard': 12.880665}"
XGBoost,40000,0.9077302969779728,300.5797621489758,865.7395503490662,0.9077456114289914,0.9077456114289914,38.22696243286133,15780.521914062501,0.16175575950152005,72.70389144516778,11.153429164159297,0.9956,1.9503094,150.2898810744879,1.9666397008724752,100.0,"{'Company Size': 1877.9436, 'Business Interruption Cost': 167.66202, 'Data Sensitivity': 143.1751, 'Security Score': 57.345573, 'Industry Risk': 8.960065}"
XGBoost,80000,0.9117882495692137,306.51442814669497,863.7239572509889,0.9117971989411181,0.9117971989411181,42.01561897277832,14590.872734375,0.16107583544775042,75.04345084567012,8.699775064148648,0.99565,1.9448544,153.25721407334748,1.9839087149681314,100.0,"{'Company Size': 1908.0828, 'Business Interruption Cost': 169.33199, 'Data Sensitivity': 147.81454, 'Security Score': 59.759007, 'Industry Risk': 5.748775}"
XGBoost,8000,0.9095929097591642,296.5502763842297,860.2640982564834,0.9096068212573232,0.9096068212573232,39.57582870483398,11651.807851562498,0.16059244298921785,74.86945138018719,-10.671304296631803,0.9965,1.9918395,148.27513819211484,2.0149303570829424,100.0,"{'Company Size': 1871.8674, 'Business Interruption Cost': 150.56331, 'Data Sensitivity': 133.78984, 'Security Score': 49.402298, 'Industry Risk': 16.540173}"
XGBoost,40000,0.9056189205707414,328.3764338670803,914.8378852122761,0.9056190169338221,0.9056190169338221,39.77863388061523,15170.055,0.16707616894933655,72.53800502778613,0.9243937679113117,0.9952,1.9361527,164.18821693354016,2.012889071405572,100.0,"{'Company Size': 1930.4012, 'Business Interruption Cost': 162.96693, 'Data Sensitivity': 147.76659, 'Security Score': 53.67949, 'Industry Risk': 9.49404}"
XGBoost,80000,0.9067832882373869,317.3651318651673,899.6368458848331,0.9067889578919124,0.9067889578919124,38.837523307800296,17677.3243359375,0.1640780222927554,74.4737202706291,7.016146407149106,0.99565,1.9456402,158.68256593258366,2.014568229643508,100.0,"{'Company Size': 1929.1138, 'Business Interruption Cost': 171.11896, 'Data Sensitivity': 145.97655, 'Security Score': 60.686382, 'Industry Risk': 9.327793}"
XGBoost,8000,0.9045774001772637,340.93066739773553,933.2967092689403,0.9045982117748934,0.9045982117748934,40.769615936279294,9659.994999999999,0.17184193802712128,74.17030452441817,-13.783097313564268,0.994,1.9321779,170.46533369886777,1.9783596940547175,100.0,"{'Company Size': 1951.7427, 'Business Interruption Cost': 180.59654, 'Data Sensitivity': 132.89656, 'Security Score': 69.764175, 'Industry Risk': 22.266874}"
