Model,Sample Size,R²,MAE,RMSE,Accuracy,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,8000,0.9591485307961628,15502.643703493653,24942.56398107582,0.9591523474325074,9796.614062500004,182632.485,0.1607738023239,18.951179436572662,241.08913877197284,1.0,0.7306594,7751.321851746827,1.9769928419140876,100.0,"{'Coverage Limit': 72193.516, 'Incident History': 40865.113, 'Industry Type': 24058.707, 'Years of Operation': 20879.355, 'Pollution Risk': 14635.323, 'Company Size': 11602.083, 'Regulatory Compliance': 10381.145}"
XGBoost,40000,0.9508197635639848,15685.617825267576,26471.00040066838,0.9508205558051636,9572.534062499995,330019.14375000005,0.17065958324980157,19.138953135281668,-106.24383888476542,0.9991,0.7261784,7842.808912633788,1.9492954433615506,100.0,"{'Coverage Limit': 70364.41, 'Incident History': 39811.613, 'Industry Type': 22573.31, 'Years of Operation': 21387.674, 'Pollution Risk': 13901.1, 'Company Size': 11904.645, 'Regulatory Compliance': 10180.946}"
XGBoost,80000,0.9642439090001766,13553.01202616696,22372.51698932238,0.9642476315305012,8366.900000000001,287146.72,0.1469169844282443,18.19557764994456,228.27531553030406,0.9995,0.73586696,6776.50601308348,1.9920105151902001,100.0,"{'Coverage Limit': 71761.22, 'Incident History': 40600.31, 'Industry Type': 25368.877, 'Years of Operation': 20922.633, 'Pollution Risk': 14104.035, 'Company Size': 12191.081, 'Regulatory Compliance': 10190.451}"
XGBoost,8000,0.9603438159773504,14511.431850091705,23610.10078232294,0.9603704210525968,9020.293749999997,219011.16000000003,0.156872310724624,17.46471253497894,611.5396580723573,0.9995,0.7123897,7255.715925045853,2.05019697137369,100.0,"{'Coverage Limit': 71109.664, 'Incident History': 39732.742, 'Industry Type': 24989.896, 'Years of Operation': 19563.402, 'Pollution Risk': 13679.893, 'Company Size': 12180.744, 'Regulatory Compliance': 10573.696}"
XGBoost,40000,0.9505735789849107,16021.884616123596,26229.44079399388,0.9505786392328932,9819.98390625001,242803.20499999996,0.1746031998499892,19.22461514563509,-265.3965968950807,0.9994,0.7166328,8010.942308061798,2.008561124742676,100.0,"{'Coverage Limit': 70553.16, 'Incident History': 39476.418, 'Industry Type': 21371.402, 'Years of Operation': 21114.537, 'Pollution Risk': 14064.745, 'Company Size': 12066.856, 'Regulatory Compliance': 9865.936}"
XGBoost,80000,0.9546053680753914,15409.534128856874,25313.465536639473,0.9546055160673139,9266.487031250006,272288.97124999994,0.16728932668996283,19.544070616102367,45.70548931402588,0.99965,0.72912836,7704.767064428437,2.014951379823744,100.0,"{'Coverage Limit': 70972.62, 'Incident History': 39799.35, 'Industry Type': 23705.621, 'Years of Operation': 20989.21, 'Pollution Risk': 14014.83, 'Company Size': 12017.1875, 'Regulatory Compliance': 10019.354}"
XGBoost,8000,0.95141960865194,15496.384140717468,25668.630230461997,0.9514196452426489,9654.489531250005,299435.06000000006,0.17076074738199723,18.454675717968197,22.277045962219244,0.998,0.7095593,7748.192070358734,2.01913171466462,100.0,"{'Coverage Limit': 69576.266, 'Incident History': 39637.883, 'Industry Type': 22519.75, 'Years of Operation': 20971.441, 'Pollution Risk': 14239.359, 'Company Size': 12401.476, 'Regulatory Compliance': 10014.407}"
XGBoost,40000,0.9652476857538078,13555.916529985901,22037.302876479378,0.9652477198621143,8386.3828125,285003.56000000006,0.14718900314651123,19.08973326536535,-21.83215741754151,0.9997,0.74365383,6777.958264992951,2.019449517863689,100.0,"{'Coverage Limit': 70882.2, 'Incident History': 40076.16, 'Industry Type': 25733.273, 'Years of Operation': 21516.309, 'Pollution Risk': 14362.597, 'Company Size': 12372.6, 'Regulatory Compliance': 10384.024}"
XGBoost,80000,0.959367416315607,14048.129183554596,23857.882823120606,0.9593675508828859,8168.520234374999,261673.50124999997,0.15285004613885747,17.43293887219891,43.417460469818124,0.99965,0.73347354,7024.064591777298,1.996266599248674,100.0,"{'Coverage Limit': 71255.02, 'Incident History': 39711.555, 'Industry Type': 24240.541, 'Years of Operation': 20632.562, 'Pollution Risk': 13682.905, 'Company Size': 11921.862, 'Regulatory Compliance': 10385.797}"
XGBoost,8000,0.9524258920533184,16064.686167141725,26683.4357732884,0.9524539770003272,9926.530390624994,209107.86,0.17013688184079243,18.05891805177495,648.3256832293702,1.0,0.71162015,8032.343083570862,2.0417339545573885,100.0,"{'Coverage Limit': 71359.36, 'Incident History': 41116.836, 'Industry Type': 24073.75, 'Years of Operation': 19895.867, 'Pollution Risk': 14350.037, 'Company Size': 12805.846, 'Regulatory Compliance': 10352.978}"
