,Experiment,Model,Sample Size,SHAP Match %,Top Features
0,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 181.9301, Age: 156.7031, Business Use: 107.6595, State: 73.5086, Gender: 9.8213"
1,Auto Premium,ElasticNet,2000,80.0,"Age: 171.9407, Business Use: 70.1187, Annual kilometers: 58.2999, Gender: 9.9391, Parking Location: 8.1098"
2,Auto Premium,MLPRegressor,500,40.0,"Sum Insured Amount: 26.1745, Age: 6.4552, Year: 3.1119, Number of Claims: 0.6598, Business Use: 0.4223"
3,Auto Premium,Ridge,500,80.0,"Annual kilometers: 199.7731, Age: 164.2578, Business Use: 123.4043, State: 52.0423, Sum Insured Value Type: 19.9229"
4,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 197.6487, Age: 173.3398, Business Use: 104.0064, State: 83.6152, Gender: 13.3806"
5,Auto Premium,HistGradientBoosting,100,80.0,"Age: 211.4150, Annual kilometers: 132.6925, Business Use: 117.8844, State: 61.6394, Sum Insured Amount: 29.3231"
6,Auto Premium,ElasticNet,500,80.0,"Age: 181.5366, Annual kilometers: 69.9845, Business Use: 62.6895, State: 35.7337, Sum Insured Amount: 22.2187"
7,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 187.3412, Age: 165.6822, Business Use: 98.5736, State: 71.0273, Gender: 11.7699"
8,Auto Premium,ExtraTrees,100,80.0,"Annual kilometers: 209.4429, Business Use: 92.2090, Age: 87.4042, Hire Car: 19.1869, State: 12.4074"
9,Auto Premium,Gradient Boosting,100,80.0,"Annual kilometers: 156.1578, Age: 115.1281, State: 67.2538, Business Use: 58.7439, Year: 22.8674"
10,Auto Premium,ExtraTrees,500,100.0,"Annual kilometers: 209.6392, Age: 160.5685, Business Use: 100.8042, State: 23.9233, Gender: 8.3221"
11,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 198.9228, Age: 158.2759, Business Use: 111.2596, State: 79.9083, Gender: 17.0418"
12,Auto Premium,ElasticNet,2000,80.0,"Age: 175.2858, Annual kilometers: 50.4206, Business Use: 36.7177, State: 20.3522, Payment Frequency: 7.8834"
13,Auto Premium,ExtraTrees,500,100.0,"Annual kilometers: 197.3712, Age: 142.1665, Business Use: 121.0825, State: 30.2434, Gender: 7.2597"
14,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 181.2244, Age: 162.2846, Business Use: 101.6409, State: 68.5571, Gender: 10.8649"
15,Auto Premium,MLPRegressor,2000,60.0,"Sum Insured Amount: 21.3246, Age: 11.1010, Year: 4.0573, Annual kilometers: 1.1782, Business Use: 0.6959"
16,Auto Premium,HistGradientBoosting,100,80.0,"Annual kilometers: 149.0530, Age: 133.7057, Business Use: 56.9504, State: 50.6178, Year: 38.2870"
17,Auto Premium,MLPRegressor,500,40.0,"Sum Insured Amount: 28.2247, Age: 4.1331, Year: 3.2790, Number of Claims: 0.6576, State: 0.3003"
18,Auto Premium,Ridge,1000,80.0,"Age: 187.8559, Business Use: 66.2518, Gender: 32.7835, Sum Insured Amount: 20.5769, Annual kilometers: 17.3790"
19,Auto Premium,Random Forest,100,60.0,"Annual kilometers: 139.7842, Age: 135.3018, Business Use: 54.0740, Number of Claims: 10.1490, Year: 9.0353"
20,Auto Premium,ElasticNet,1000,80.0,"Age: 187.8644, Business Use: 55.7648, State: 47.6540, Annual kilometers: 25.4069, Number of Claims: 15.0127"
21,Auto Premium,Gradient Boosting,1000,100.0,"Age: 194.5601, Annual kilometers: 180.4249, Business Use: 114.5183, State: 83.4028, Gender: 20.5386"
22,Auto Premium,ExtraTrees,500,60.0,"Age: 167.4421, Annual kilometers: 152.3433, Business Use: 94.4240, Payment Frequency: 12.2320, Financing: 11.6069"
23,Auto Premium,ElasticNet,500,80.0,"Age: 167.2836, Business Use: 57.9736, Annual kilometers: 34.7009, Number of Claims: 12.6472, Gender: 10.8617"
24,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 177.1625, Age: 165.5545, Business Use: 111.0367, State: 80.7986, Gender: 16.1032"
25,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 181.2628, Age: 171.2743, Business Use: 116.1212, State: 83.7359, Gender: 13.2783"
26,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 205.0080, Age: 166.7584, Business Use: 105.0190, State: 77.0462, Gender: 12.8492"
27,Auto Premium,Ridge,100,80.0,"Age: 140.8896, Annual kilometers: 101.8328, State: 58.1229, Gender: 41.8192, Hire Car: 35.8649"
28,Auto Premium,XGBoost,500,100.0,"Age: 180.9756, Annual kilometers: 171.7263, Business Use: 126.1083, State: 84.3723, Gender: 8.2088"
29,Auto Premium,ElasticNet,1000,80.0,"Age: 157.9767, Annual kilometers: 61.4135, Business Use: 42.8960, State: 32.5342, Year: 17.5039"
30,Auto Premium,ElasticNet,500,80.0,"Age: 197.2349, Annual kilometers: 181.3253, State: 67.2080, Business Use: 30.9636, Payment Frequency: 6.7642"
31,Auto Premium,XGBoost,100,80.0,"Age: 173.0410, Annual kilometers: 94.5282, Business Use: 92.0875, State: 36.0764, Number of Claims: 26.7653"
32,Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 196.9223, Age: 178.8968, Business Use: 114.3861, State: 90.6423, Gender: 18.5920"
33,Auto Premium,ElasticNet,500,80.0,"Age: 165.6774, Annual kilometers: 39.0575, Business Use: 27.7684, State: 23.4744, Number of Claims: 17.1648"
34,Auto Premium,CatBoost,100,80.0,"Annual kilometers: 144.9585, Age: 102.9696, Business Use: 85.4792, State: 35.3410, Number of Claims: 10.7968"
35,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 198.4165, Age: 172.5357, Business Use: 99.0515, State: 75.2228, Gender: 15.2460"
36,Auto Premium,ElasticNet,500,80.0,"Age: 166.4684, Annual kilometers: 102.8762, Business Use: 25.4117, Year: 19.3354, State: 15.3079"
37,Auto Premium,Random Forest,100,80.0,"Age: 174.3004, Annual kilometers: 111.9716, Business Use: 82.9916, State: 14.2508, Year: 12.9769"
38,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 200.8825, Age: 184.1170, Business Use: 101.5048, State: 26.6954, Year: 5.9346"
39,Auto Premium,CatBoost,100,80.0,"Annual kilometers: 124.2627, Age: 78.6429, Business Use: 75.4598, State: 40.8627, Year: 16.5497"
40,Auto Premium,MLPRegressor,2000,40.0,"Sum Insured Amount: 54.5656, Age: 13.7762, Year: 4.1622, Annual kilometers: 1.5335, Number of Claims: 0.7044"
41,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 188.6928, Age: 165.2208, Business Use: 109.8153, State: 88.3013, Gender: 16.4263"
42,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 191.1252, Age: 163.0239, Business Use: 112.4647, State: 45.2834, Gender: 10.6513"
43,Auto Premium,Ridge,2000,100.0,"Age: 176.5408, Business Use: 67.5913, State: 42.7894, Annual kilometers: 39.3458, Gender: 27.0966"
44,Auto Premium,Ridge,500,80.0,"Age: 164.4132, Annual kilometers: 109.3422, Business Use: 69.7006, State: 37.4442, Financing: 27.1094"
45,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 199.8231, Age: 166.7930, Business Use: 111.2994, State: 82.4616, Gender: 19.5520"
46,Auto Premium,Ridge,2000,100.0,"Annual kilometers: 195.1131, Age: 158.8720, Business Use: 132.8439, State: 54.4503, Gender: 20.3413"
47,Auto Premium,Random Forest,500,80.0,"Annual kilometers: 198.3151, Age: 156.4694, Business Use: 79.2907, State: 15.6707, Sum Insured Amount: 11.6998"
48,Auto Premium,XGBoost,100,80.0,"Age: 205.7787, Business Use: 121.9822, Annual kilometers: 99.9959, State: 52.8626, Number of Claims: 10.4987"
49,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 197.0469, Age: 165.8010, Business Use: 117.8822, State: 70.9199, Gender: 13.8020"
50,Auto Premium,ElasticNet,100,60.0,"Age: 181.0121, Annual kilometers: 143.9654, Year: 58.9025, Number of Claims: 38.4118, Business Use: 14.2966"
51,Auto Premium,Random Forest,500,100.0,"Annual kilometers: 208.4815, Age: 191.0898, Business Use: 90.1656, State: 55.2740, Gender: 6.7936"
52,Auto Premium,XGBoost,2000,100.0,"Annual kilometers: 200.3752, Age: 171.6454, Business Use: 107.3872, State: 87.7250, Gender: 14.4433"
53,Auto Premium,Ridge,2000,80.0,"Annual kilometers: 196.9266, Age: 169.6912, Business Use: 103.7582, Gender: 18.7508, Financing: 12.3995"
54,Auto Premium,Random Forest,100,60.0,"Annual kilometers: 154.6832, Age: 142.3415, Business Use: 52.5573, Year: 15.5371, Sum Insured Amount: 13.7494"
55,Auto Premium,Random Forest,500,80.0,"Annual kilometers: 193.0303, Age: 174.2989, Business Use: 98.2281, State: 47.0207, Year: 6.2081"
56,Auto Premium,XGBoost,100,80.0,"Age: 205.4852, Annual kilometers: 103.8891, Business Use: 97.5799, State: 74.9443, Sum Insured Amount: 45.6474"
57,Auto Premium,ExtraTrees,500,80.0,"Annual kilometers: 212.1595, Age: 156.5636, Business Use: 93.4859, State: 12.5481, Payment Frequency: 9.5284"
58,Auto Premium,ElasticNet,1000,80.0,"Age: 157.4029, Business Use: 64.5709, State: 48.6163, Annual kilometers: 42.6566, Number of Claims: 24.0531"
59,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 199.3763, Age: 168.9183, Business Use: 110.3167, State: 79.7000, Gender: 17.1111"
60,Auto Premium,XGBoost,100,100.0,"Annual kilometers: 157.3710, Age: 99.6411, State: 49.5676, Business Use: 42.7632, Gender: 24.4798"
61,Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 200.7010, Age: 176.8331, Business Use: 100.4179, State: 77.2669, Gender: 18.5801"
62,Auto Premium,ElasticNet,1000,80.0,"Age: 196.5224, Business Use: 68.8884, State: 18.6383, Annual kilometers: 18.2048, Sum Insured Amount: 11.5462"
63,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 209.1079, Age: 163.6403, Business Use: 121.4714, State: 77.1591, Gender: 5.0763"
64,Auto Premium,Random Forest,100,60.0,"Annual kilometers: 241.9493, Age: 106.8321, Sum Insured Amount: 43.9114, State: 39.3044, Number of Claims: 14.0576"
65,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 201.4957, Age: 165.4703, Business Use: 109.0185, State: 82.1877, Gender: 13.6122"
66,Auto Premium,ElasticNet,500,80.0,"Age: 165.1959, Annual kilometers: 55.9643, Business Use: 35.3578, State: 29.3546, Parking Location: 24.5569"
67,Auto Premium,ExtraTrees,500,100.0,"Annual kilometers: 196.7367, Age: 175.0848, Business Use: 97.2265, State: 14.5439, Gender: 9.8666"
68,Auto Premium,XGBoost,2000,100.0,"Annual kilometers: 192.6076, Age: 166.0856, Business Use: 114.7522, State: 84.4001, Gender: 14.9302"
69,Auto Premium,Ridge,100,80.0,"Age: 212.1829, Annual kilometers: 131.5980, Business Use: 116.3554, Gender: 68.1140, Sum Insured Value Type: 58.1994"
70,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 208.0633, Age: 166.8484, Business Use: 108.5220, State: 89.2239, Gender: 17.1301"
71,Auto Premium,ExtraTrees,100,80.0,"Annual kilometers: 172.2684, Age: 122.9192, Business Use: 91.1188, Year: 12.0509, State: 10.3601"
72,Auto Premium,MLPRegressor,500,20.0,"Sum Insured Amount: 11.3301, Age: 3.6441, Year: 3.5058, Number of Claims: 0.6001, Make Model: 0.3873"
73,Auto Premium,Random Forest,500,80.0,"Age: 198.3181, Annual kilometers: 180.8369, Business Use: 81.8684, State: 43.9469, Sum Insured Amount: 6.8821"
74,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 211.1588, Age: 169.4429, Business Use: 103.4034, State: 93.3927, Gender: 16.2929"
75,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 191.2482, Age: 166.8758, Business Use: 109.5605, State: 83.9400, Gender: 14.6624"
76,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 18.0947, Age: 5.4137, Year: 3.7012, Annual kilometers: 1.3350, Number of Claims: 0.6413"
77,Auto Premium,Ridge,2000,80.0,"Age: 169.5603, Business Use: 105.5449, Gender: 20.7781, Annual kilometers: 14.8854, Hire Car: 14.4793"
78,Auto Premium,ExtraTrees,100,60.0,"Annual kilometers: 127.6568, Age: 112.2897, Business Use: 91.9571, Make Model: 22.1734, Number of Claims: 12.6230"
79,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 202.4924, Age: 173.2152, Business Use: 108.0052, State: 90.1514, Gender: 15.9492"
80,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 21.3345, Age: 4.7897, Year: 3.4883, Annual kilometers: 0.7626, Number of Claims: 0.6085"
81,Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 189.3499, Age: 162.2763, Business Use: 109.4130, State: 85.4937, Gender: 15.9593"
82,Auto Premium,Ridge,500,80.0,"Age: 185.3466, Annual kilometers: 51.8819, Business Use: 51.2508, Gender: 25.3666, Hire Car: 25.1225"
83,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 199.3591, Age: 151.8061, Business Use: 101.0088, State: 89.8388, Gender: 10.4941"
84,Auto Premium,HistGradientBoosting,100,60.0,"Age: 157.2201, Business Use: 109.5489, Number of Claims: 40.1294, Annual kilometers: 35.5286, Parking Location: 29.9217"
85,Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 196.4024, Age: 150.9620, Business Use: 102.9922, State: 89.0469, Gender: 14.3701"
86,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 196.8883, Age: 181.7550, Business Use: 113.8209, State: 92.4535, Gender: 18.9481"
87,Auto Premium,MLPRegressor,100,60.0,"Age: 33.0106, Sum Insured Amount: 22.2372, Year: 3.5557, State: 2.7358, Gender: 1.0053"
88,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 216.2657, Age: 153.7754, Business Use: 104.1490, State: 83.2956, Sum Insured Amount: 3.4521"
89,Auto Premium,Random Forest,500,80.0,"Age: 191.6176, Annual kilometers: 167.7027, Business Use: 94.1345, State: 38.8753, Sum Insured Amount: 6.7142"
90,Auto Premium,ElasticNet,1000,80.0,"Age: 154.7585, State: 75.5089, Annual kilometers: 72.5201, Business Use: 61.8390, Sum Insured Amount: 8.9617"
91,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 188.9702, Age: 155.5063, Business Use: 106.9902, State: 72.8467, Gender: 11.2373"
92,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 192.2183, Age: 163.3437, Business Use: 107.4530, State: 89.4577, Gender: 14.2180"
93,Auto Premium,HistGradientBoosting,100,80.0,"Annual kilometers: 186.8550, Age: 155.5327, Business Use: 101.9408, State: 72.6780, Year: 19.9904"
94,Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 197.8251, Age: 167.7341, Business Use: 103.2085, State: 69.4219, Gender: 12.9826"
95,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 31.7917, Age: 5.2029, Year: 3.3015, Annual kilometers: 1.1874, Number of Claims: 0.8449"
