iter	RMSE
0	115767.3863
1	108679.503
2	102512.5994
3	96566.91241
4	90922.147
5	85821.61094
6	81631.16171
7	77438.64611
8	73868.57684
9	70532.6881
10	67140.95879
11	64490.03018
12	62007.54551
13	59717.60136
14	57472.95696
15	55374.42705
16	53247.97124
17	51836.53801
18	50413.09165
19	48739.57917
20	47256.99318
21	45945.20893
22	44554.96287
23	43489.66842
24	42542.22595
25	41509.86984
26	40622.34631
27	39605.15963
28	38593.64709
29	37781.25346
30	36793.87374
31	35985.98121
32	35198.87864
33	34433.86827
34	33787.16505
35	33082.62826
36	32472.63566
37	31947.89939
38	31293.25324
39	30714.12627
40	30324.3789
41	29759.56038
42	29344.15921
43	28987.02131
44	28416.36851
45	27880.85266
46	27372.72944
47	27100.28226
48	26427.38146
49	25870.82707
50	25491.71247
51	25228.96423
52	24794.18744
53	24441.08744
54	24025.24814
55	23774.42194
56	23372.45403
57	22953.09324
58	22635.36918
59	22404.59474
60	21927.23787
61	21698.6508
62	21500.7969
63	21298.69662
64	21082.08648
65	20738.49341
66	20337.53983
67	20007.63587
68	19814.28554
69	19582.47352
70	19306.21007
71	19057.26824
72	18847.68803
73	18572.14739
74	18423.08734
75	18211.50454
76	18012.42741
77	17691.05501
78	17423.46377
79	17208.31046
80	16906.91555
81	16729.88347
82	16504.82859
83	16344.84056
84	16117.69684
85	15964.16593
86	15801.15322
87	15637.25768
88	15485.59241
89	15327.96636
90	15177.31492
91	15043.63777
92	14905.63167
93	14788.48214
94	14655.3526
95	14577.45834
96	14302.39791
97	14192.87053
98	14039.23687
99	13916.52078
