iter	Passed	Remaining
0	1	118
1	1	76
2	1	62
3	2	55
4	2	50
5	3	47
6	3	44
7	3	42
8	4	40
9	4	39
10	4	38
11	5	37
12	5	36
13	5	35
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	8	32
20	8	32
21	8	31
22	19	65
23	19	62
24	20	61
25	20	59
26	21	57
27	21	56
28	22	55
29	23	53
30	23	52
31	24	51
32	24	50
33	27	52
34	27	51
35	28	50
36	29	50
37	30	50
38	31	49
39	36	54
40	37	53
41	38	52
42	38	51
43	39	50
44	39	48
45	40	47
46	41	46
47	41	45
48	47	48
49	48	48
50	52	50
51	53	49
52	55	49
53	57	49
54	59	48
55	59	46
56	60	45
57	60	44
58	63	44
59	65	43
60	67	43
61	68	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	72	34
68	73	32
69	74	31
70	74	30
71	75	29
72	76	28
73	76	26
74	77	25
75	77	24
76	78	23
77	78	22
78	79	21
79	79	19
80	80	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	84	10
89	85	9
90	85	8
91	85	7
92	86	6
93	86	5
94	87	4
95	87	3
96	88	2
97	88	1
98	89	0
99	89	0
