iter	RMSE
0	370.5437597
1	348.1148094
2	329.5412458
3	311.5468207
4	294.8518587
5	282.0253793
6	268.6862217
7	258.3566148
8	247.5615202
9	237.3083068
10	226.5570379
11	218.3244651
12	211.9053394
13	204.0839282
14	195.1647011
15	188.8079204
16	183.5923073
17	177.1388832
18	169.1206873
19	162.6872766
20	157.5366548
21	152.8683075
22	147.4257071
23	143.3120795
24	140.1332004
25	135.4214184
26	132.2682012
27	129.0694884
28	125.9325024
29	123.356468
30	120.1451994
31	116.827346
32	112.9162597
33	110.2403788
34	107.1162944
35	104.4685277
36	102.0546177
37	100.3799476
38	98.32709921
39	96.11812086
40	93.50106876
41	91.30010094
42	90.39924842
43	88.46207838
44	86.0901837
45	84.28746206
46	82.35949725
47	80.63634956
48	78.93254394
49	77.56868917
50	76.702983
51	75.71631148
52	74.61754946
53	73.12206253
54	71.5426444
55	70.40110489
56	69.78896886
57	68.60949645
58	67.73888685
59	66.64006187
60	65.73263304
61	64.65142903
62	63.79326119
63	63.24710372
64	62.06765897
65	61.00923955
66	60.18835433
67	59.49929602
68	58.76808504
69	57.99410771
70	57.42004285
71	56.65486884
72	55.97155693
73	55.19947788
74	54.64056195
75	53.75061321
76	53.07975032
77	52.54366272
78	51.89811321
79	51.35603239
80	50.66708828
81	50.08889226
82	49.41282333
83	48.80866957
84	48.13602815
85	47.44945095
86	47.09115364
87	46.77505278
88	46.40138671
89	45.82310637
90	45.24414451
91	44.69655686
92	44.2300028
93	43.67870092
94	43.23207868
95	42.66080602
96	42.08484885
97	41.49735041
98	41.19196475
99	40.800998
