iter	Passed	Remaining
0	1	112
1	1	79
2	2	72
3	2	61
4	2	54
5	3	49
6	3	46
7	3	44
8	4	46
9	4	44
10	5	42
11	5	40
12	5	39
13	6	38
14	6	37
15	7	37
16	7	36
17	7	35
18	8	35
19	8	34
20	9	34
21	9	33
22	9	32
23	10	31
24	10	32
25	11	32
26	11	32
27	12	31
28	12	30
29	12	29
30	13	29
31	13	28
32	13	27
33	13	27
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	21	17
55	21	16
56	21	16
57	21	15
58	22	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	26	8
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	29	6
81	29	6
82	29	6
83	30	5
84	30	5
85	30	5
86	31	4
87	31	4
88	31	3
89	31	3
90	32	3
91	32	2
92	32	2
93	33	2
94	33	1
95	34	1
96	34	1
97	34	0
98	35	0
99	35	0
