Experiment,Model,Sample Size,SHAP Match %,Top Features
Auto Premium,Random Forest,100,80.0,"Age: 133.0866, Annual kilometers: 99.2144, State: 35.3013, Business Use: 32.7484, Parking Location: 7.9105"
Auto Premium,XGBoost,100,80.0,"Annual kilometers: 157.7047, Age: 113.2841, State: 75.1316, Business Use: 55.4586, Year: 19.3904"
Auto Premium,Gradient Boosting,100,80.0,"Annual kilometers: 155.1824, Age: 109.6451, State: 80.9853, Business Use: 49.2021, Year: 18.2374"
Auto Premium,CatBoost,100,80.0,"Annual kilometers: 126.9409, Age: 103.2078, Business Use: 65.5480, State: 32.7794, Parking Location: 12.1667"
Auto Premium,ElasticNet,100,80.0,"Annual kilometers: 126.9409, Age: 103.2078, Business Use: 65.5480, State: 32.7794, Parking Location: 12.1667"
Auto Premium,MLPRegressor,100,80.0,"Annual kilometers: 126.9409, Age: 103.2078, Business Use: 65.5480, State: 32.7794, Parking Location: 12.1667"
Auto Premium,Ridge,100,80.0,"Annual kilometers: 126.9409, Age: 103.2078, Business Use: 65.5480, State: 32.7794, Parking Location: 12.1667"
Auto Premium,ExtraTrees,100,80.0,"Annual kilometers: 102.8030, Age: 91.8533, Business Use: 66.9020, State: 25.2037, Financing: 20.7925"
Auto Premium,HistGradientBoosting,100,60.0,"Age: 195.5184, Annual kilometers: 150.9154, Business Use: 71.2738, Number of Claims: 21.4212, Financing: 20.2696"
Auto Premium,Random Forest,500,80.0,"Annual kilometers: 199.9576, Age: 168.5574, Business Use: 99.9289, State: 53.4856, Year: 4.7379"
Auto Premium,XGBoost,500,100.0,"Annual kilometers: 187.2638, Age: 166.2932, Business Use: 98.8416, State: 71.1046, Gender: 12.4371"
Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 187.3412, Age: 165.6822, Business Use: 98.5736, State: 71.0273, Gender: 11.7699"
Auto Premium,CatBoost,500,100.0,"Annual kilometers: 181.2827, Age: 165.8634, Business Use: 103.4075, State: 65.9690, Gender: 11.5584"
