Model,Sample Size,R²,MAE,RMSE,Accuracy,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,50000,0.9715958284805842,38.437228067016605,61.53892353484186,0.971613039649902,23.380859375,603.1983642578125,0.1322508007712894,3.757708669848824,1.5148304290771484,1.0,0.34620205,19.218614033508302,2.0173097689365536,100.0,"{'Annual kilometers': 196.69386, 'Age': 167.69936, 'Business Use': 109.104935, 'State': 84.40976, 'Gender': 16.52021}"
XGBoost,50000,0.9731405914118364,38.37039002685547,60.906422911046,0.9731435594453126,22.62237548828125,510.9588623046875,0.1294361045945012,3.6794255238223754,-0.6402495300292969,1.0,0.34802067,19.18519501342773,2.0028435726031173,100.0,"{'Annual kilometers': 192.97939, 'Age': 167.83704, 'Business Use': 109.6676, 'State': 85.45073, 'Gender': 16.392075}"
XGBoost,50000,0.9690181003897638,41.25346707458496,65.42372748985048,0.9690191068477438,26.5450439453125,686.89013671875,0.1395482896941908,3.975159978959244,-0.3728885833740234,0.9999,0.34853187,20.62673353729248,1.9949828122297208,100.0,"{'Annual kilometers': 194.1527, 'Age': 166.79395, 'Business Use': 106.99933, 'State': 83.03023, 'Gender': 16.176888}"
XGBoost,50000,0.9751551240800992,34.050605319213865,57.74941868773835,0.9751590259095722,17.8292236328125,590.696533203125,0.1170165617974538,3.253418321000256,0.7237079498291016,1.0,0.34732133,17.025302659606933,1.974011879903637,100.0,"{'Annual kilometers': 198.48216, 'Age': 168.13097, 'Business Use': 109.76363, 'State': 88.842606, 'Gender': 16.951443}"
XGBoost,50000,0.970097585319965,39.51251721496582,64.06944706380261,0.9700982850476908,23.24249267578125,584.7373046875,0.1342089406061893,3.763338652470433,-0.3099291229248047,1.0,0.34795588,19.75625860748291,1.9683541271627425,100.0,"{'Annual kilometers': 199.7799, 'Age': 169.31883, 'Business Use': 108.81675, 'State': 82.2702, 'Gender': 16.36247}"
XGBoost,50000,0.9723771770299094,38.32055190124512,61.68909199363201,0.9723786629235984,21.26913452148437,465.6607666015625,0.1305025095526063,3.627654688710181,0.452447525024414,1.0,0.34890518,19.16027595062256,1.9681861483857856,100.0,"{'Annual kilometers': 194.18423, 'Age': 168.61111, 'Business Use': 108.28816, 'State': 88.95895, 'Gender': 16.184273}"
XGBoost,50000,0.9720421984226852,39.62337283325196,60.91126223321486,0.9720448930247476,24.57421875,443.350341796875,0.1366670749476843,3.886540170798997,0.5979892944335937,1.0,0.34172866,19.811686416625975,2.0108674920183565,100.0,"{'Annual kilometers': 191.26738, 'Age': 166.44875, 'Business Use': 109.88628, 'State': 85.32819, 'Gender': 15.722989}"
XGBoost,50000,0.971306259178088,38.91905598754883,62.867168870183896,0.9713064171410822,23.46044921875,569.60400390625,0.1317296585789447,3.723847404871914,-0.1475054260253906,1.0,0.34853166,19.45952799377441,1.963953596053519,100.0,"{'Annual kilometers': 195.78809, 'Age': 167.38362, 'Business Use': 109.32159, 'State': 88.646385, 'Gender': 16.912233}"
XGBoost,50000,0.9706739275008446,39.20180059814453,63.06721471806603,0.9706739340433472,23.0684814453125,508.8221435546875,0.1345604451073762,3.662305245843325,0.0297885009765625,1.0,0.3435872,19.600900299072265,2.002807612335163,100.0,"{'Annual kilometers': 194.50107, 'Age': 165.31702, 'Business Use': 108.87101, 'State': 80.49646, 'Gender': 15.453181}"
XGBoost,50000,0.9763435185093248,32.224525036621095,56.17935399738936,0.9763435187182692,16.28900146484375,573.66845703125,0.1111122626306317,3.086973573741533,-0.0052797973632812,1.0,0.35201445,16.112262518310548,1.9825315425141996,100.0,"{'Annual kilometers': 198.022, 'Age': 168.57974, 'Business Use': 110.23179, 'State': 88.61447, 'Gender': 17.007402}"
XGBoost,50000,0.9688295787972552,41.0029050201416,65.3905149961997,0.9688329209691692,24.03363037109375,557.7725830078125,0.139930340849376,3.833092931882377,-0.677107797241211,1.0,0.34251752,20.5014525100708,2.0020779043584054,100.0,"{'Annual kilometers': 192.96936, 'Age': 167.59587, 'Business Use': 108.95608, 'State': 87.88359, 'Gender': 16.429731}"
XGBoost,50000,0.9737476022640398,35.31818869934082,59.298151386447074,0.9737501400388832,19.41448974609375,556.9437255859375,0.1217271347928748,3.415172802880572,-0.5830196746826172,1.0,0.34729236,17.65909434967041,1.9653301647412496,100.0,"{'Annual kilometers': 196.2049, 'Age': 168.89114, 'Business Use': 109.609215, 'State': 89.32097, 'Gender': 16.300142}"
