Model,Sample Size,R²,MAE,RMSE,Accuracy,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,50000,0.91313797873895,300.3912027820394,853.9139157283901,0.9131462082307908,37.03521701812744,14618.79734375,0.1576965045788915,74.34503778154671,8.311619149510655,0.9955,1.9544798,150.1956013910197,1.9994783118756505,100.0,"{'Company Size': 1923.2522, 'Business Interruption Cost': 177.40732, 'Data Sensitivity': 151.17253, 'Security Score': 61.075924, 'Industry Risk': 9.927412}"
XGBoost,50000,0.9033700612004432,312.98730193913195,903.272882697592,0.9033723299821488,36.06903373718262,13451.443203125,0.1659240728140184,73.73734782965175,-4.376827958131495,0.9941,1.9603423,156.49365096956598,2.010171741707764,100.0,"{'Company Size': 1885.9596, 'Business Interruption Cost': 170.52525, 'Data Sensitivity': 142.72592, 'Security Score': 53.762814, 'Industry Risk': 7.028881}"
XGBoost,50000,0.8983723623585691,332.40721932409764,955.7175282799247,0.8983723623623133,39.52426162719726,18918.819765625,0.1686791161721614,75.03443992544311,0.0058010841869996,0.9947,1.921123,166.20360966204882,1.973543832438857,100.0,"{'Company Size': 1942.772, 'Business Interruption Cost': 179.44116, 'Data Sensitivity': 144.38326, 'Security Score': 64.119194, 'Industry Risk': 7.209655}"
XGBoost,50000,0.9050056109977273,324.36800126960134,925.1543250823564,0.9050146296424564,36.2065453338623,14201.3294921875,0.166534758349418,72.47838704685414,-9.014379676959518,0.995,1.9519665,162.18400063480067,1.976989504563931,100.0,"{'Company Size': 1913.7942, 'Business Interruption Cost': 168.82675, 'Data Sensitivity': 140.4405, 'Security Score': 53.834774, 'Industry Risk': 9.922063}"
XGBoost,50000,0.9044874527985348,307.9349594417115,904.9329287921036,0.9044881946345814,33.89579109191895,14060.2865234375,0.1643582719777404,69.68088561687414,2.5219713241996784,0.9952,1.9885408,153.96747972085575,1.9998052547879968,100.0,"{'Company Size': 1884.638, 'Business Interruption Cost': 157.66309, 'Data Sensitivity': 145.3572, 'Security Score': 56.779137, 'Industry Risk': 8.679843}"
XGBoost,50000,0.90410721416829,323.2811586858666,907.8865548775784,0.9041345026058052,40.62044441223144,13469.8553125,0.1674180153214287,75.46055189537782,15.315386157534364,0.9952,1.954276,161.6405793429333,1.9931291557802409,100.0,"{'Company Size': 1936.9404, 'Business Interruption Cost': 173.12566, 'Data Sensitivity': 147.237, 'Security Score': 62.455975, 'Industry Risk': 5.672969}"
XGBoost,50000,0.9077720470099558,319.338525769994,914.0165721445676,0.9077767823158032,37.53810958862304,14409.7924609375,0.1619894108929328,74.95759922025907,-6.549328928791164,0.9952,1.9563894,159.66926288499698,2.013309630846501,100.0,"{'Company Size': 1927.1263, 'Business Interruption Cost': 161.88573, 'Data Sensitivity': 135.55667, 'Security Score': 51.118317, 'Industry Risk': 10.091898}"
XGBoost,50000,0.9060012102559872,309.3986222407775,906.1369401227462,0.9060061547468512,35.42121072769165,16614.6008203125,0.1610088977937514,69.56043729982748,-6.5719385482630726,0.9954,1.9500587,154.69931112038876,2.008079813013318,100.0,"{'Company Size': 1906.0052, 'Business Interruption Cost': 162.02943, 'Data Sensitivity': 144.73206, 'Security Score': 58.10448, 'Industry Risk': 7.9890485}"
XGBoost,50000,0.9055381846115272,320.0771607373668,911.7429387000872,0.9055541997797242,38.13066680908204,13950.349843749998,0.1637796236202214,74.5237760006991,11.871620817468996,0.9953,1.9430242,160.0385803686834,1.9870946227569932,100.0,"{'Company Size': 1947.8234, 'Business Interruption Cost': 167.88742, 'Data Sensitivity': 151.61308, 'Security Score': 54.0869, 'Industry Risk': 4.6858177}"
XGBoost,50000,0.9103007872689116,306.5026307345362,875.2998768140056,0.9103093498672852,38.05831474304199,14176.710234375,0.1595072244847393,74.69022340473903,-8.55195365534926,0.9955,1.9374584,153.2513153672681,1.941138707350502,100.0,"{'Company Size': 1885.0986, 'Business Interruption Cost': 163.35782, 'Data Sensitivity': 132.69507, 'Security Score': 58.80945, 'Industry Risk': 4.5704274}"
