Model,Sample Size,R²,MAE,RMSE,Accuracy,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,200,0.8775552374959324,596.8941458952428,1368.3180222309973,0.8775767162486744,56.35611404418947,6642.201865234376,0.1697485340617802,48.821940275808,18.122640266180063,1.0,1.1908647,298.4470729476214,2.4736370440276305,80.0,"{'Company Size': 3085.6045, 'Data Sensitivity': 126.94609, 'Business Interruption Cost': 126.040115, 'Industry Risk': 48.084137, 'Types of Data Stored': 36.27983}"
XGBoost,500,0.8289417410859533,398.3848036908031,1193.172019262621,0.8308665991610513,40.158933410644536,8212.0851171875,0.2224668297377987,83.10552613046121,126.56988727103472,0.99,2.1531959,199.19240184540155,1.9351350825184024,80.0,"{'Company Size': 2138.5918, 'Data Sensitivity': 185.57892, 'Business Interruption Cost': 85.24103, 'Previous Cyber Incidents': 77.848976, 'Security Score': 50.87229}"
XGBoost,200,0.4713447130550486,642.7403930024205,1896.0035492869815,0.4807131324204569,19.609237060546874,9353.505703125,0.4020540392490804,72.50519005309812,252.3980630045831,0.975,2.247019,321.3701965012103,1.890979230065931,60.0,"{'Company Size': 1796.4075, 'Types of Data Stored': 197.13788, 'Business Interruption Cost': 70.467575, 'Previous Cyber Incidents': 46.588367, 'Security Score': 19.62676}"
XGBoost,500,0.9471650756398268,258.4945486913085,539.3020189202651,0.9474007051666676,35.75890838623047,2920.7858398437493,0.1474364946377502,67.54712002872833,-36.01524360631706,1.0,1.5824755,129.24727434565426,2.3885771784385144,80.0,"{'Company Size': 1619.4789, 'Business Interruption Cost': 83.035706, 'Data Sensitivity': 82.61765, 'Security Score': 51.830162, 'Previous Cyber Incidents': 33.347546}"
XGBoost,200,0.8855708188785693,439.7273134782314,894.50291316943,0.8855861181620067,31.5366389465332,2928.698125,0.2223685480961966,68.55514533800913,-10.343056796789142,1.0,1.6660999,219.8636567391157,2.251461089595869,80.0,"{'Company Size': 1888.724, 'Business Interruption Cost': 82.40928, 'Industry Risk': 58.52117, 'Data Sensitivity': 25.584188, 'Previous Cyber Incidents': 22.788256}"
XGBoost,500,0.8836973450290779,427.2327799382924,1220.7474932618168,0.8837106488715268,43.38809173583984,10202.2103515625,0.1678163487783951,68.20328661099319,13.05628354742526,0.99,1.696071,213.6163899691462,2.475772976366196,100.0,"{'Company Size': 2304.878, 'Business Interruption Cost': 138.89503, 'Security Score': 88.822624, 'Industry Risk': 84.52765, 'Data Sensitivity': 78.24885}"
XGBoost,200,0.8524058798532613,454.1562795193792,1297.662802299397,0.8606988927065731,24.63875079154968,6434.9555078125,0.2087328784274435,56.35427841025976,-307.5979924767613,0.975,1.9530061,227.0781397596896,1.7729073497338133,80.0,"{'Company Size': 1861.3201, 'Compliance Standard': 100.08232, 'Data Sensitivity': 88.6916, 'Business Interruption Cost': 69.41838, 'Industry Risk': 27.569118}"
XGBoost,500,0.861211336390455,360.508099941063,894.4219977696267,0.8613011222604479,89.93612327575684,7160.865117187499,0.2486191498822027,80.95699738308078,22.74937514743804,0.99,1.7234551,180.2540499705315,1.9300626392565312,100.0,"{'Company Size': 1674.2516, 'Business Interruption Cost': 93.70059, 'Data Sensitivity': 81.65993, 'Industry Risk': 52.662277, 'Security Score': 51.35447}"
XGBoost,200,0.9398527045771596,311.3494393625259,590.9898361587851,0.9403622479156902,68.66151107788086,2184.81404296875,0.211693936565834,93.4388320298851,54.39544377803804,1.0,2.0832837,155.67471968126296,1.774630740840303,100.0,"{'Company Size': 1534.7125, 'Business Interruption Cost': 65.166626, 'Data Sensitivity': 24.022678, 'Security Score': 20.602354, 'Industry Risk': 15.56517}"
XGBoost,500,0.8528364011458648,448.1795392284394,1312.2809169267948,0.8531148420646515,39.87226524353027,9395.474765625,0.1824593782561277,69.52701815551355,57.081206305313145,0.99,1.9413499,224.0897696142197,1.9053570346940767,100.0,"{'Company Size': 2154.039, 'Data Sensitivity': 110.5728, 'Business Interruption Cost': 91.706696, 'Industry Risk': 65.65042, 'Security Score': 64.79608}"
XGBoost,200,0.7643742718201442,432.3637579807043,1046.0456241632337,0.7937235662493634,20.600732860565184,3662.55921875,0.2624139328841379,77.26947814123994,369.1799483810663,1.0,1.7279125,216.18187899035212,1.2866539694468877,80.0,"{'Company Size': 2012.2324, 'Previous Cyber Incidents': 66.8544, 'Business Interruption Cost': 64.756386, 'Data Sensitivity': 58.46865, 'Industry Risk': 57.063}"
XGBoost,500,0.9066482025525178,311.4574267570496,753.5673519405262,0.90836541803839,43.04507247924805,3440.0246484375,0.1749053750829358,86.98360531942699,102.20523247795109,1.0,2.0072794,155.7287133785248,1.9516736237651109,80.0,"{'Company Size': 1992.1206, 'Business Interruption Cost': 155.36726, 'Data Sensitivity': 113.76248, 'Security Score': 59.150536, 'Types of Data Stored': 38.27135}"
XGBoost,200,0.920481711756838,442.5720581561327,881.4517306106078,0.922723965339002,27.83798416137696,3183.3944726562504,0.1691077793643913,61.49843800385752,148.01556481349468,1.0,1.6208533,221.28602907806635,1.57213070466855,60.0,"{'Company Size': 2556.1255, 'Business Interruption Cost': 92.3655, 'Data Sensitivity': 82.256294, 'Types of Data Stored': 56.347828, 'Compliance Standard': 44.76844}"
XGBoost,500,0.8534480211768908,433.06747836468224,1113.486459299645,0.8534561563263553,24.85098648071289,6134.912304687499,0.2263917345318264,65.52440948935335,-8.296059628415115,0.99,1.9470243,216.53373918234112,2.099428576266186,100.0,"{'Company Size': 1805.851, 'Business Interruption Cost': 103.28575, 'Data Sensitivity': 85.22129, 'Industry Risk': 36.322533, 'Security Score': 23.8529}"
XGBoost,200,0.9323016441251688,336.034729429245,735.367767379071,0.9323055633751984,26.033494491577148,2715.2605078125,0.1991089193527762,62.5370645072288,5.595218029022215,1.0,2.021388,168.0173647146225,1.9914087593537464,100.0,"{'Company Size': 1704.4115, 'Data Sensitivity': 95.35188, 'Business Interruption Cost': 91.60498, 'Security Score': 80.694954, 'Industry Risk': 41.94808}"
XGBoost,500,0.8882619573730742,308.300250881958,799.8749096522596,0.8889761045264839,33.79177986145019,4505.103378906249,0.2134503173618401,85.28766530805382,-63.94629681491848,0.99,2.0962346,154.150125440979,1.9743794544031283,100.0,"{'Company Size': 1630.0319, 'Business Interruption Cost': 142.43109, 'Data Sensitivity': 76.5191, 'Industry Risk': 57.76716, 'Security Score': 37.039997}"
XGBoost,200,0.6337266217363609,692.9492274374961,2462.5479791257344,0.6383360314164611,19.280799560546875,14342.779609375,0.3196100248013394,64.95769027941908,-276.2515214381218,0.975,2.0131266,346.47461371874806,1.9798351762516,80.0,"{'Company Size': 1785.4176, 'Data Sensitivity': 116.71486, 'Business Interruption Cost': 97.82474, 'Security Score': 54.272728, 'Geographic Location': 27.93287}"
XGBoost,500,0.862170200697117,382.19994048638347,1013.5214151519268,0.8623388419366272,40.5378215789795,5285.862734375,0.2035666250751102,87.27162110992755,35.45220569624902,0.99,1.928391,191.09997024319173,1.868616938200652,100.0,"{'Company Size': 1868.7164, 'Business Interruption Cost': 143.513, 'Data Sensitivity': 110.60096, 'Security Score': 36.01272, 'Industry Risk': 33.00349}"
XGBoost,200,0.9278035903338924,221.51062134313588,433.4119791274794,0.9279886346841746,25.91621700286865,1503.3285546875004,0.2038306348879601,71.97583530187394,21.94224325037003,1.0,1.9178622,110.75531067156794,2.0462833210346933,80.0,"{'Company Size': 1245.6829, 'Geographic Location': 53.783028, 'Security Score': 47.989674, 'Business Interruption Cost': 44.758327, 'Industry Risk': 20.808111}"
XGBoost,500,0.886553308932748,414.3144527323007,905.538480050813,0.8930246153090446,57.74211273193357,5389.464960937499,0.2083375552854681,66.2128615727408,216.27532540585992,1.0,1.70026,207.15722636615035,1.7658316544496258,80.0,"{'Company Size': 1999.0088, 'Business Interruption Cost': 160.28162, 'Data Sensitivity': 134.31633, 'Security Score': 124.14098, 'Types of Data Stored': 38.615246}"
XGBoost,200,0.8703289084239156,251.63285139364,605.1730131425502,0.8709383288516006,50.29355438232422,3048.3313671875003,0.2109510915932084,64.86303365734342,41.4874243441224,1.0,2.1106482,125.81642569682,1.9559207731058563,80.0,"{'Company Size': 1738.8132, 'Types of Data Stored': 115.36263, 'Data Sensitivity': 109.06587, 'Security Score': 94.401505, 'Business Interruption Cost': 80.674194}"
XGBoost,500,0.937933841811369,309.1086140120506,660.1210663035179,0.9379379672967972,46.85804382324218,3767.6042578125,0.1784696960157728,72.97287143270552,5.381876024723049,1.0,1.8878632,154.5543070060253,1.9605400347253008,100.0,"{'Company Size': 1702.4929, 'Data Sensitivity': 62.996246, 'Industry Risk': 59.22105, 'Security Score': 47.752575, 'Business Interruption Cost': 42.280792}"
XGBoost,200,0.6001964370625799,722.0502855968474,1431.1857246718223,0.6346832738733821,83.25120498657228,4509.0756640625,0.4202220303207185,81.74762689242272,420.3386708927154,1.0,1.6243759,361.0251427984237,1.822204943867484,80.0,"{'Company Size': 2265.0505, 'Business Interruption Cost': 163.54558, 'Geographic Location': 104.87691, 'Industry Risk': 90.46654, 'Data Sensitivity': 63.271545}"
XGBoost,500,0.8906554358328135,411.763057797444,1087.2585209365263,0.8915706478473157,53.6668106842041,6063.921679687501,0.2017504598517371,75.33636890895903,99.47067782400843,1.0,2.0367272,205.881528898722,1.9922547994861064,80.0,"{'Company Size': 1959.7008, 'Business Interruption Cost': 132.45702, 'Data Sensitivity': 119.5902, 'Security Score': 44.679337, 'Compliance Standard': 44.423546}"
XGBoost,200,0.7029765404207816,477.126168243289,1087.638465047354,0.7468681546201485,55.09170486450198,3707.248515625,0.3308451400594248,68.13490649819262,418.0997989999056,1.0,1.783568,238.5630841216445,1.9533655664083285,80.0,"{'Company Size': 1785.0891, 'Types of Data Stored': 100.84138, 'Industry Risk': 46.869473, 'Data Sensitivity': 43.639828, 'Business Interruption Cost': 30.45304}"
XGBoost,500,0.7611402864836879,489.0968154341697,1338.9960120460048,0.7676044429785644,52.80300521850586,7644.129609375001,0.2777465924548284,68.66899586335559,220.27426511316293,0.98,1.9877353,244.54840771708484,1.9765907647649223,80.0,"{'Company Size': 1927.8231, 'Business Interruption Cost': 132.20866, 'Data Sensitivity': 129.13806, 'Compliance Standard': 90.017044, 'Industry Risk': 57.595394}"
XGBoost,200,0.6153279346251874,999.0476544468402,3387.5859755468814,0.6212836128593571,38.27073226928711,18543.4685546875,0.3328008621785598,61.93860936037743,-421.5126518909932,0.95,1.7378155,499.5238272234201,2.0922901482267684,60.0,"{'Company Size': 1946.449, 'Types of Data Stored': 116.59943, 'Previous Cyber Incidents': 91.54553, 'Security Score': 43.65586, 'Business Interruption Cost': 40.63445}"
XGBoost,500,0.8789050563985903,445.5087354910374,1146.936054369053,0.8790039514762253,45.56399452209472,6764.6905859375,0.1881810360937047,75.05703289975905,-32.776572626256915,0.99,1.8083167,222.7543677455187,2.027698718017519,80.0,"{'Company Size': 2236.953, 'Business Interruption Cost': 86.98451, 'Security Score': 70.631256, 'Industry Risk': 45.92102, 'Types of Data Stored': 45.438896}"
XGBoost,200,0.7762606590812127,356.1047414204031,882.3389683806414,0.7939790454770297,48.000971679687495,4631.544804687501,0.300430380337522,61.03994081999154,248.29979853998128,1.0,2.0698435,178.05237071020156,1.917004699823453,80.0,"{'Company Size': 1525.3284, 'Security Score': 81.72278, 'Industry Risk': 67.08658, 'Types of Data Stored': 43.763878, 'Business Interruption Cost': 27.06702}"
XGBoost,500,0.7449233058198872,553.9510775978089,1673.9387627126966,0.746349167191535,60.07126281738281,12255.159921875002,0.2739071555183204,76.35790109016303,-125.15345063209531,0.98,1.7949375,276.97553879890444,2.075959675346024,80.0,"{'Company Size': 1940.6173, 'Data Sensitivity': 123.292694, 'Business Interruption Cost': 95.76078, 'Compliance Standard': 74.08669, 'Industry Risk': 26.938545}"
XGBoost,200,0.8178320285538766,383.0241895349026,1101.4167430977047,0.818211986340908,30.72097972869873,5222.57953125,0.2352617634147375,80.15329167823766,-50.30177818274496,0.975,2.3746212,191.5120947674513,1.4278794843581644,60.0,"{'Company Size': 1668.1494, 'Industry Risk': 83.18408, 'Business Interruption Cost': 50.198204, 'Previous Cyber Incidents': 32.336254, 'Compliance Standard': 27.699497}"
XGBoost,500,0.8935953707839033,292.3172669682026,770.4570393241614,0.894079897572924,40.07670066833496,4994.021523437499,0.1845124673297162,87.28453224451279,51.990867386198055,1.0,2.2902205,146.1586334841013,1.834085342231647,80.0,"{'Company Size': 1994.7444, 'Business Interruption Cost': 259.45007, 'Data Sensitivity': 126.47795, 'Security Score': 78.099014, 'Previous Cyber Incidents': 30.383291}"
XGBoost,200,0.8566390749572761,544.8427717919351,1116.2932575512484,0.8592052047208972,149.83054687499998,4562.1489843750005,0.2546754062173058,52.17244338937868,149.34896293210988,1.0,1.7231199,272.42138589596755,2.035379128008597,100.0,"{'Company Size': 1916.5657, 'Industry Risk': 141.20976, 'Security Score': 120.336136, 'Business Interruption Cost': 29.544353, 'Data Sensitivity': 19.515537}"
XGBoost,500,0.8485596816198113,510.7955510154249,1642.96157806447,0.8508336397152507,54.10401145935057,10663.1658203125,0.2077302553264839,80.25758017774024,-201.32507931418425,0.98,2.0914454,255.3977755077124,1.8464160842085224,100.0,"{'Company Size': 2092.149, 'Business Interruption Cost': 172.55331, 'Data Sensitivity': 119.83284, 'Security Score': 63.322212, 'Industry Risk': 38.22837}"
XGBoost,200,0.9631433359272252,271.89187557649615,508.6257392388253,0.9634379012392268,81.07222259521484,2011.9679101562504,0.1443662126330402,53.64692943647918,-45.47064591264725,1.0,1.5400106,135.94593778824807,2.219582674550712,100.0,"{'Company Size': 1732.8666, 'Business Interruption Cost': 85.87681, 'Data Sensitivity': 53.946033, 'Industry Risk': 34.937145, 'Security Score': 23.462603}"
XGBoost,500,0.9001224141621318,339.56655015697487,803.1639167082783,0.9005662845895577,36.84668174743653,3628.18341796875,0.2037554658779427,76.97994214872412,53.5424545194626,1.0,1.9871824,169.78327507848743,1.871658721169774,80.0,"{'Company Size': 2070.6372, 'Business Interruption Cost': 167.16373, 'Security Score': 98.38047, 'Industry Risk': 49.82581, 'Types of Data Stored': 44.16819}"
XGBoost,200,0.6726832531318315,483.9985992350579,1158.61367791052,0.7017171309154744,47.78965848922729,5887.16875,0.3642650162366016,69.82604614227955,345.0698859496117,0.975,1.986477,241.99929961752892,2.1438391513049297,60.0,"{'Company Size': 1584.2395, 'Security Score': 78.63371, 'Geographic Location': 51.432495, 'Data Sensitivity': 40.254936, 'Previous Cyber Incidents': 35.591576}"
XGBoost,500,0.9087227373346408,279.61857898988734,794.7260822525575,0.9087337522750932,46.07696426391604,5432.21494140625,0.162250840576362,63.54453443304165,8.730261240673073,0.99,1.7839007,139.80928949494367,2.015589356079128,80.0,"{'Company Size': 1720.6027, 'Data Sensitivity': 98.90388, 'Business Interruption Cost': 91.57788, 'Industry Risk': 84.39497, 'Types of Data Stored': 24.125069}"
XGBoost,200,0.9405884443281431,247.2285797832012,552.9351775062703,0.9432569751696388,43.25233474731445,2316.4891796875,0.1580048693575259,90.85019974690348,117.18576824736596,1.0,2.1045778,123.61428989160058,2.0214766471352474,80.0,"{'Company Size': 1919.7457, 'Data Sensitivity': 80.114395, 'Compliance Standard': 74.75558, 'Business Interruption Cost': 60.804222, 'Industry Risk': 56.337364}"
XGBoost,500,0.9382673881622928,280.4803455370903,690.5075897020762,0.9383517460573786,28.63039642333985,3203.04435546875,0.1647135910584265,74.75167899175534,-25.52548471479417,1.0,2.2632775,140.24017276854514,2.079738533275957,80.0,"{'Company Size': 1730.8868, 'Data Sensitivity': 105.02081, 'Business Interruption Cost': 83.08624, 'Industry Risk': 75.48549, 'Previous Cyber Incidents': 22.894106}"
XGBoost,200,0.4918447726698249,579.8595715777874,1667.1374367731742,0.5077102600905223,33.36990186691284,8780.44109375,0.382498293398946,73.44165521295884,294.57773244977,0.975,2.2690735,289.9297857888937,1.8554320887915683,60.0,"{'Company Size': 2092.4426, 'Types of Data Stored': 139.80106, 'Business Interruption Cost': 133.56735, 'Compliance Standard': 55.905067, 'Security Score': 53.28786}"
XGBoost,500,0.9018842088472008,283.6052041869163,733.9674359317829,0.902418535607184,43.64930946350098,4652.178046875,0.1809147953000665,75.12598576470361,54.16400871858596,1.0,2.0748117,141.80260209345815,1.9980406086827511,80.0,"{'Company Size': 1932.8157, 'Business Interruption Cost': 177.0558, 'Data Sensitivity': 155.54556, 'Industry Risk': 83.79646, 'Previous Cyber Incidents': 37.75752}"
XGBoost,200,0.859580152359433,433.9452044701577,1202.3521722267983,0.8631966576677912,66.30969375610351,6848.262421875001,0.2103842307047519,82.3524591941783,192.9576481146813,1.0,2.1243117,216.9726022350788,1.126221852597471,100.0,"{'Company Size': 2289.1394, 'Security Score': 224.14201, 'Business Interruption Cost': 86.30854, 'Data Sensitivity': 28.117132, 'Industry Risk': 24.159485}"
XGBoost,500,0.8208615617583586,427.401975577426,1415.3602455797602,0.8233736187322278,36.5713945388794,10089.1008984375,0.2071450055850067,98.28273190342678,-167.60514409110547,0.98,2.131806,213.70098778871295,2.0172352870927126,100.0,"{'Company Size': 1935.6207, 'Data Sensitivity': 82.70658, 'Industry Risk': 69.02955, 'Business Interruption Cost': 62.30652, 'Security Score': 41.119553}"
XGBoost,200,0.8491935072794545,365.2283141217232,968.6880862382856,0.8516535634399882,66.87706649780269,4730.4093359375,0.2491885657083284,71.81740746379285,-123.72186255693435,0.95,1.7792909,182.6141570608616,2.0328209643264223,100.0,"{'Company Size': 1491.0925, 'Business Interruption Cost': 177.59387, 'Industry Risk': 69.291504, 'Data Sensitivity': 60.96645, 'Security Score': 58.25297}"
XGBoost,500,0.8391601686882229,558.24430579288,1545.5258879810544,0.8406881812820375,50.00493461608887,11714.336953125,0.205828513029098,81.55579347945584,-150.64091550052174,0.99,1.6474963,279.12215289644,2.0240307486427533,60.0,"{'Company Size': 2187.5115, 'Business Interruption Cost': 143.2343, 'Data Sensitivity': 119.48899, 'Types of Data Stored': 53.64992, 'Previous Cyber Incidents': 46.35917}"
XGBoost,200,0.8676015678831078,356.3026688599586,898.9206659076982,0.8690817592293552,48.80375183105469,4883.4239453125,0.2138836564373533,69.3106410274579,95.04710079145433,1.0,1.8888819,178.1513344299793,1.8495742838236824,80.0,"{'Company Size': 2198.2258, 'Business Interruption Cost': 227.88333, 'Data Sensitivity': 186.88855, 'Geographic Location': 98.81101, 'Industry Risk': 86.50292}"
XGBoost,500,0.7931552350713236,525.5273712660551,1450.7141714218062,0.7937856417801866,34.983474121093735,8913.4562109375,0.2365566240208219,88.61947008809157,80.08847051060204,0.98,1.909031,262.76368563302754,1.9622567219317324,80.0,"{'Company Size': 2164.6362, 'Security Score': 155.52711, 'Data Sensitivity': 112.9579, 'Business Interruption Cost': 77.27123, 'Types of Data Stored': 39.22587}"
XGBoost,200,0.6874141556305422,723.4637617434857,1689.186244237486,0.6975093306085474,38.42429367065429,6438.888203125,0.3320487920886621,82.11860506135451,303.56367940908666,1.0,2.0061316,361.7318808717429,1.8481173263226676,80.0,"{'Company Size': 2430.08, 'Security Score': 300.76965, 'Business Interruption Cost': 67.46486, 'Data Sensitivity': 31.141077, 'Geographic Location': 27.74711}"
XGBoost,500,0.7167407627149802,636.357255219269,1753.0410493807549,0.7259093806447977,79.6858260345459,9071.0851953125,0.2709843544702018,78.75995988156717,315.392951015091,0.98,1.8184873,318.1786276096345,1.9777020476670364,80.0,"{'Company Size': 2460.115, 'Security Score': 109.99697, 'Business Interruption Cost': 109.44001, 'Data Sensitivity': 87.633446, 'Previous Cyber Incidents': 47.020073}"
