Age,Gender,Driving Experience (Years),Annual Mileage,Vehicle Type,Vehicle Age (Years),Number of Past Accidents,Location (Risk Area),Credit Score,Coverage Type,Deductible Amount,Gender Factor,Vehicle Type Factor,Coverage Type Factor,Combined Risk Factor,Expected Premium
62,Male,42,11625,Convertible,9,1,Urban,586,Standard,500,1.5,1.4,1.1,1.0,1155.0
65,Female,17,28528,Convertible,19,0,Urban,653,Premium,1000,1.2,1.4,1.3,1.0,1092.0
71,Male,7,6832,Convertible,17,1,Rural,767,Premium,500,1.5,1.4,1.3,1.2,1638.0
18,Female,38,14752,Truck,9,1,Urban,486,Standard,1000,1.2,1.3,1.1,0.8,686.4000000000001
21,Female,9,26955,Sedan,1,1,Rural,447,Basic,500,1.2,1.6,1.0,1.0,960.0
77,Female,61,28498,Convertible,14,2,Suburban,609,Basic,250,1.2,1.4,1.0,1.0,840.0
21,Female,3,5399,SUV,10,1,Rural,507,Basic,100,1.2,1.1,1.0,1.0,660.0
57,Male,20,9242,SUV,12,0,Urban,317,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
27,Female,8,19976,Truck,11,0,Urban,657,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
37,Female,18,18006,Convertible,7,0,Rural,392,Basic,100,1.2,1.4,1.0,1.0,840.0
39,Female,4,28196,Convertible,16,1,Urban,543,Premium,500,1.2,1.4,1.3,1.0,1092.0
68,Male,12,16320,Convertible,13,0,Rural,627,Standard,500,1.5,1.4,1.1,1.0,1155.0
54,Male,16,19109,Convertible,9,3,Urban,771,Premium,1000,1.5,1.4,1.3,1.5,2047.5
41,Female,26,16758,Convertible,4,0,Urban,626,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
24,Female,39,19838,Convertible,12,3,Suburban,401,Basic,1000,1.2,1.4,1.0,1.0,840.0
42,Female,44,25003,SUV,17,0,Rural,773,Basic,1000,1.2,1.1,1.0,1.0,660.0
42,Female,24,14711,Truck,3,0,Suburban,386,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
30,Male,41,16348,SUV,1,0,Suburban,443,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
76,Male,1,15045,SUV,12,0,Urban,438,Premium,100,1.5,1.1,1.3,1.0,1072.5000000000002
19,Male,25,21852,Truck,12,0,Suburban,588,Basic,1000,1.5,1.3,1.0,0.8,780.0
56,Male,22,15285,SUV,13,1,Urban,446,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
57,Male,0,18904,Convertible,8,3,Suburban,703,Basic,500,1.5,1.4,1.0,1.0,1050.0
41,Male,0,29476,Convertible,6,0,Urban,317,Standard,250,1.5,1.4,1.1,1.0,1155.0
64,Female,19,29248,Sedan,7,2,Urban,553,Standard,1000,1.2,1.6,1.1,1.5,1584.0
42,Female,52,20471,Convertible,3,0,Suburban,407,Standard,500,1.2,1.4,1.1,1.0,924.0000000000001
35,Male,6,5752,Sedan,14,0,Suburban,814,Standard,100,1.5,1.6,1.1,1.0,1320.0
